year,real_gdp
2216,45029681257654.81
2217,46168932193473.484
2218,47337006177968.37
2219,48534632434270.97
2220,49762558634858.03
2221,51021551368319.945
2222,52312396617938.445
2223,53635900252372.3
2224,54992888528757.32
2225,56384208608534.88
2226,57810729086330.82
2227,59273340532214.99
2228,60772956047680.04
2229,62310511835686.35
2230,63886967785129.22
2231,65503308070092.99
2232,67160541764266.35
2233,68859703470902.3
2234,70601853968716.12
2235,72388080874124.66
2236,74219499320240.02
2237,76097252653042.1
2238,78022513145164.06
2239,79996482727736.72
2240,82020393740748.47
2241,84095509702389.4
2242,86223126097859.86
2243,88404571188135.72
2244,90641206839195.56
2245,92934429372227.22
2246,95285670435344.58
2247,97696397897358.81
2248,100168116764162.0
2249,102702370118295.31
2250,105300740082288.19
2251,107964848806370.1
2252,110696359481171.27
2253,113496977376044.9
2254,116368450903658.86
2255,119312572711521.44
2256,122331180801122.94
2257,125426159675391.36
2258,128599441515178.77
2259,131853007385512.8
2260,135188888472366.28
2261,138609167350717.16
2262,142115979284690.3
2263,145711513560593.0
2264,149398014853676.03
2265,153177784629474.06
2266,157053182580599.78
2267,161026628099888.97
2268,165100601790816.2
2269,169277647016123.84
2270,173560371485631.78
2271,177951448884218.28
2272,182453620540989.03
2273,187069697140676.06
2274,191802560478335.2
2275,196655165258437.1
2276,201630540939475.56
2277,206731793625244.3
2278,211962108003963.0
2279,217324749336463.28
2280,222823065494675.8
2281,228460489051691.12
2282,234240539424698.94
2283,240166825072143.84
2284,246243045746469.1
2285,252472994803854.78
2286,258860561572392.34
2287,265409733780173.9
2288,272124600044812.34
2289,279009352425946.12
2290,286068289042322.56
2291,293305816755093.4
2292,300726453918997.25
2293,308334833203147.94
2294,316135704483187.6
2295,324133937806612.3
2296,332334526433119.6
2297,340742589951877.56
2298,349363377477660.1
2299,358202270927844.94
2300,367264788382319.44
2301,376556587528392.1
2302,386083469192860.5
2303,395851380963439.94
2304,405866420901815.0
2305,416134841350630.94
2306,426663052836801.94
2307,437457628073573.06
2308,448525306063834.5
2309,459872996307249.56
2310,471507783113823.0
2311,483436930026602.75
2312,495667884356275.9
2313,508208281830489.7
2314,521065951360801.1
2315,534248919930229.44
2316,547765417604464.3
2317,561623882669857.3
2318,575832966901404.8
2319,590401540964010.4
2320,605338699950399.9
2321,620653769059145.0
2322,636356309416341.4
2323,652456124044574.9
2324,668963263982902.6
2325,685888034561670.1
2326,703241001836080.5
2327,721032999182533.4
2328,739275134061851.5
2329,757978794953616.4
2330,777155658465943.0
2331,796817696625131.4
2332,816977184349747.2
2333,837646707113795.9
2334,858839168803775.0
2335,880567799774510.6
2336,902846165108805.9
2337,925688173086058.8
2338,949108083865136.1
2339,973120518386924.1
2340,997740467502113.4
2341,1022983301329917.0
2342,1048864778853564.0
2343,1075401057758559.2
